code;nom;province;region;adresse;latitude;longitude;type_resultat;a_verifier
B27;PC Oreye;Liège;Wallonie;Grand Route, 132/4 - 4360 Oreye;50.7316518;5.3426020;/primary;oui
B12;PC Sprimont;Liège;Wallonie;rue Neronry, 21 - 4140 Sprimont;50.5130069;5.6619772;/residential;oui
B11;PC Tivoli - Herbesthal;Liège;Wallonie;rue de la Gare, 20 - 4710 Herbesthal;;;;oui
B15;Petanque New Esneux;Liège;Wallonie;rue d'Evieux, 51 - 4130 Esneux;;;;oui
B05;Pétanque Club La Boule Vottemoise D'Herstal;Liège;Wallonie;rue Haute Marexhe, 142 - 4040 Herstal;50.6560658;5.6208243;/residential;oui
B30;Royal PC Wanze;Liège;Wallonie;rue Arthur Galand, 26a - 4520 Wanze;50.5349366;5.2102893;/tertiary;oui
B06;Royal Petanque Club Embourg;Liège;Wallonie;rue des Coquelicots, 2 - 4053 Embourg;;;;oui
B43;Royal Petanque Club La Moisson;Liège;Wallonie;rue Victor Yansenne, 2- 4610 Beyne-Heusay;50.6281189;5.6450015;/yes;
B23;Royale Petanque Hutoise;Liège;Wallonie;rue de la Campagne, 36 - 4500 Huy;50.5305418;5.2550397;/residential;oui
E09;Abc Durbuy PC;Luxembourg;Wallonie;Fond Sainte-Anne, 3 - 6940 Durbuy-Bohon;50.3554979;5.4756065;/sports_centre;oui
E07;Arel Boules Club;Luxembourg;Wallonie;La Cova - Chemin de la Hart - 6700 Arlon (Eté) - La Grange - Rue de Schoppach - 6700 Arlon (Hiver);;;;oui
E03;La Boule Bastognarde;Luxembourg;Wallonie;Rue de la Californie, 42 - 6600 Bastogne;50.0020213;5.7244097;/yes;
E12;La Boule Feodale Latour;Luxembourg;Wallonie;Rue Baillet-Latour , 26A - 6761 Latour;49.5557179;5.5829821;/secondary;oui
E01;La Mechoise;Luxembourg;Wallonie;rue de Launoy - 6769 Meix-Devant-Virton;49.6043971;5.4830461;/tertiary;oui
E05;Les 3 Frontieres Longeau;Luxembourg;Wallonie;rue d'Athus, 8 - 6780 Longeau;49.5779845;5.8332097;/house;
E02;PC Gouvy;Luxembourg;Wallonie;rue d'Houffalize, 22 - 6670 Gouvy;50.1864830;5.9468946;/residential;oui
E10;PC Lhomme;Luxembourg;Wallonie;Rue de la Lhomme, 53E - 5580 Jemelle;50.1626844;5.2567820;/residential;oui
E11;PC Rochefortois;Luxembourg;Wallonie;Rue de la Lhomme, 53E - 5580 Jemelle;50.1626844;5.2567820;/residential;oui
